@relation trainplusliwc

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute feature8 numeric
@attribute feature9 numeric
@attribute feature10 numeric
@attribute feature11 numeric
@attribute feature12 numeric
@attribute feature13 numeric
@attribute feature14 numeric
@attribute feature15 numeric
@attribute feature16 numeric
@attribute feature17 numeric
@attribute feature18 numeric
@attribute feature19 numeric
@attribute feature20 numeric
@attribute feature21 numeric
@attribute feature22 numeric
@attribute feature23 numeric
@attribute feature24 numeric
@attribute feature25 numeric
@attribute feature26 numeric
@attribute feature27 numeric
@attribute feature28 numeric
@attribute feature29 numeric
@attribute feature30 numeric
@attribute feature31 numeric
@attribute feature32 numeric
@attribute feature33 numeric
@attribute feature34 numeric
@attribute feature35 numeric
@attribute feature36 numeric
@attribute feature37 numeric
@attribute feature38 numeric
@attribute feature39 numeric
@attribute feature40 numeric
@attribute feature41 numeric
@attribute feature42 numeric
@attribute feature43 numeric
@attribute feature44 numeric
@attribute feature45 numeric
@attribute feature46 numeric
@attribute feature47 numeric
@attribute feature48 numeric
@attribute feature49 numeric
@attribute feature50 numeric
@attribute feature51 numeric
@attribute feature52 numeric
@attribute feature53 numeric
@attribute feature54 numeric
@attribute feature55 numeric
@attribute feature56 numeric
@attribute feature57 numeric
@attribute feature58 numeric
@attribute feature59 numeric
@attribute feature60 numeric
@attribute feature61 numeric
@attribute feature62 numeric
@attribute feature63 numeric
@attribute feature64 numeric
@attribute feature65 numeric
@attribute feature66 numeric
@attribute feature67 numeric
@attribute feature68 numeric
@attribute nlinks numeric
@attribute nusermentions numeric
@attribute nhashtags numeric
@attribute nTweets numeric
@attribute gender {M,F}
@attribute extS numeric
@attribute neuS numeric
@attribute agrS numeric
@attribute consS numeric
@attribute openS numeric

@data
0.011182,0.000722,0,0.000722,0.00586,0.001594,0.005416,0.002518,0.000204,0.007913,0.001834,0.041838,0.023889,0.002259,0.007019,0.017023,0,0.008332,0.002692,0.045426,0.002863,0.022083,0.00815,0.002259,0.011374,0.005502,0.023771,0.006758,0.012272,0.002482,0.047249,0.029947,0.010747,0.002259,0,0.001555,0.025549,0.016211,0.105649,0.004581,0.004836,0,0,0.003976,0.008087,0.01421,0.018789,0.003754,0.010814,0.006963,0.005784,0,0.001371,0,0.004414,0.001228,0.001815,0.001815,0,0.019305,0.01101,0.001815,0.005369,0.003814,0.001371,0,0,0,14,123,20,202,M,0.2,0.4,0.2,0.1,0.4
0.004177,0.000499,0.000564,0.001064,0.002473,0.000641,0.001536,0,0.000791,0.008923,0.000999,0.0465,0.035754,0.005197,0.007427,0.010746,0.002815,0.001561,0.001993,0.023964,0.00375,0.009429,0.004289,0,0.011284,0.005565,0.013198,0.008404,0.003233,0,0.03885,0.015558,0.005474,0.000947,0.001954,0.006384,0.031284,0.018685,0.079533,0.003067,0.012833,0.00215,0.00241,0.008271,0.001909,0.020807,0.036863,0.005144,0.022544,0.009174,0.004284,0.000999,0.002645,0,0.000641,0.003212,0,0,0,0.007792,0.001561,0,0.003723,0.002509,0,0,0,0,35,114,114,202,F,0.4,0.5,0.2,0.2,0.2
0.011182,0.000722,0,0.000722,0.00586,0.001594,0.005416,0.002518,0.000204,0.007913,0.001834,0.041838,0.023889,0.002259,0.007019,0.017023,0,0.008332,0.002692,0.045426,0.002863,0.022083,0.00815,0.002259,0.011374,0.005502,0.023771,0.006758,0.012272,0.002482,0.047249,0.029947,0.010747,0.002259,0,0.001555,0.025549,0.016211,0.105649,0.004581,0.004836,0,0,0.003976,0.008087,0.01421,0.018789,0.003754,0.010814,0.006963,0.005784,0,0.001371,0,0.004414,0.001228,0.001815,0.001815,0,0.019305,0.01101,0.001815,0.005369,0.003814,0.001371,0,0,0,14,123,20,202,M,0.2,0.4,0.2,0.1,0.4
0.004177,0.000499,0.000564,0.001064,0.002473,0.000641,0.001536,0,0.000791,0.008923,0.000999,0.0465,0.035754,0.005197,0.007427,0.010746,0.002815,0.001561,0.001993,0.023964,0.00375,0.009429,0.004289,0,0.011284,0.005565,0.013198,0.008404,0.003233,0,0.03885,0.015558,0.005474,0.000947,0.001954,0.006384,0.031284,0.018685,0.079533,0.003067,0.012833,0.00215,0.00241,0.008271,0.001909,0.020807,0.036863,0.005144,0.022544,0.009174,0.004284,0.000999,0.002645,0,0.000641,0.003212,0,0,0,0.007792,0.001561,0,0.003723,0.002509,0,0,0,0,35,114,114,202,F,0.4,0.5,0.2,0.2,0.2
0.011182,0.000722,0,0.000722,0.00586,0.001594,0.005416,0.002518,0.000204,0.007913,0.001834,0.041838,0.023889,0.002259,0.007019,0.017023,0,0.008332,0.002692,0.045426,0.002863,0.022083,0.00815,0.002259,0.011374,0.005502,0.023771,0.006758,0.012272,0.002482,0.047249,0.029947,0.010747,0.002259,0,0.001555,0.025549,0.016211,0.105649,0.004581,0.004836,0,0,0.003976,0.008087,0.01421,0.018789,0.003754,0.010814,0.006963,0.005784,0,0.001371,0,0.004414,0.001228,0.001815,0.001815,0,0.019305,0.01101,0.001815,0.005369,0.003814,0.001371,0,0,0,14,123,20,202,M,0.2,0.4,0.2,0.1,0.4
0.004177,0.000499,0.000564,0.001064,0.002473,0.000641,0.001536,0,0.000791,0.008923,0.000999,0.0465,0.035754,0.005197,0.007427,0.010746,0.002815,0.001561,0.001993,0.023964,0.00375,0.009429,0.004289,0,0.011284,0.005565,0.013198,0.008404,0.003233,0,0.03885,0.015558,0.005474,0.000947,0.001954,0.006384,0.031284,0.018685,0.079533,0.003067,0.012833,0.00215,0.00241,0.008271,0.001909,0.020807,0.036863,0.005144,0.022544,0.009174,0.004284,0.000999,0.002645,0,0.000641,0.003212,0,0,0,0.007792,0.001561,0,0.003723,0.002509,0,0,0,0,35,114,114,202,F,0.4,0.5,0.2,0.2,0.2
0.011182,0.000722,0,0.000722,0.00586,0.001594,0.005416,0.002518,0.000204,0.007913,0.001834,0.041838,0.023889,0.002259,0.007019,0.017023,0,0.008332,0.002692,0.045426,0.002863,0.022083,0.00815,0.002259,0.011374,0.005502,0.023771,0.006758,0.012272,0.002482,0.047249,0.029947,0.010747,0.002259,0,0.001555,0.025549,0.016211,0.105649,0.004581,0.004836,0,0,0.003976,0.008087,0.01421,0.018789,0.003754,0.010814,0.006963,0.005784,0,0.001371,0,0.004414,0.001228,0.001815,0.001815,0,0.019305,0.01101,0.001815,0.005369,0.003814,0.001371,0,0,0,14,123,20,202,M,0.2,0.4,0.2,0.1,0.4
0.004177,0.000499,0.000564,0.001064,0.002473,0.000641,0.001536,0,0.000791,0.008923,0.000999,0.0465,0.035754,0.005197,0.007427,0.010746,0.002815,0.001561,0.001993,0.023964,0.00375,0.009429,0.004289,0,0.011284,0.005565,0.013198,0.008404,0.003233,0,0.03885,0.015558,0.005474,0.000947,0.001954,0.006384,0.031284,0.018685,0.079533,0.003067,0.012833,0.00215,0.00241,0.008271,0.001909,0.020807,0.036863,0.005144,0.022544,0.009174,0.004284,0.000999,0.002645,0,0.000641,0.003212,0,0,0,0.007792,0.001561,0,0.003723,0.002509,0,0,0,0,35,114,114,202,F,0.4,0.5,0.2,0.2,0.2
0.011182,0.000722,0,0.000722,0.00586,0.001594,0.005416,0.002518,0.000204,0.007913,0.001834,0.041838,0.023889,0.002259,0.007019,0.017023,0,0.008332,0.002692,0.045426,0.002863,0.022083,0.00815,0.002259,0.011374,0.005502,0.023771,0.006758,0.012272,0.002482,0.047249,0.029947,0.010747,0.002259,0,0.001555,0.025549,0.016211,0.105649,0.004581,0.004836,0,0,0.003976,0.008087,0.01421,0.018789,0.003754,0.010814,0.006963,0.005784,0,0.001371,0,0.004414,0.001228,0.001815,0.001815,0,0.019305,0.01101,0.001815,0.005369,0.003814,0.001371,0,0,0,14,123,20,202,M,0.2,0.4,0.2,0.1,0.4
0.004177,0.000499,0.000564,0.001064,0.002473,0.000641,0.001536,0,0.000791,0.008923,0.000999,0.0465,0.035754,0.005197,0.007427,0.010746,0.002815,0.001561,0.001993,0.023964,0.00375,0.009429,0.004289,0,0.011284,0.005565,0.013198,0.008404,0.003233,0,0.03885,0.015558,0.005474,0.000947,0.001954,0.006384,0.031284,0.018685,0.079533,0.003067,0.012833,0.00215,0.00241,0.008271,0.001909,0.020807,0.036863,0.005144,0.022544,0.009174,0.004284,0.000999,0.002645,0,0.000641,0.003212,0,0,0,0.007792,0.001561,0,0.003723,0.002509,0,0,0,0,35,114,114,202,F,0.4,0.5,0.2,0.2,0.2
