@relation testplusliwc

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute feature8 numeric
@attribute feature9 numeric
@attribute feature10 numeric
@attribute feature11 numeric
@attribute feature12 numeric
@attribute feature13 numeric
@attribute feature14 numeric
@attribute feature15 numeric
@attribute feature16 numeric
@attribute feature17 numeric
@attribute feature18 numeric
@attribute feature19 numeric
@attribute feature20 numeric
@attribute feature21 numeric
@attribute feature22 numeric
@attribute feature23 numeric
@attribute feature24 numeric
@attribute feature25 numeric
@attribute feature26 numeric
@attribute feature27 numeric
@attribute feature28 numeric
@attribute feature29 numeric
@attribute feature30 numeric
@attribute feature31 numeric
@attribute feature32 numeric
@attribute feature33 numeric
@attribute feature34 numeric
@attribute feature35 numeric
@attribute feature36 numeric
@attribute feature37 numeric
@attribute feature38 numeric
@attribute feature39 numeric
@attribute feature40 numeric
@attribute feature41 numeric
@attribute feature42 numeric
@attribute feature43 numeric
@attribute feature44 numeric
@attribute feature45 numeric
@attribute feature46 numeric
@attribute feature47 numeric
@attribute feature48 numeric
@attribute feature49 numeric
@attribute feature50 numeric
@attribute feature51 numeric
@attribute feature52 numeric
@attribute feature53 numeric
@attribute feature54 numeric
@attribute feature55 numeric
@attribute feature56 numeric
@attribute feature57 numeric
@attribute feature58 numeric
@attribute feature59 numeric
@attribute feature60 numeric
@attribute feature61 numeric
@attribute feature62 numeric
@attribute feature63 numeric
@attribute feature64 numeric
@attribute feature65 numeric
@attribute feature66 numeric
@attribute feature67 numeric
@attribute feature68 numeric
@attribute nlinks numeric
@attribute nusermentions numeric
@attribute nhashtags numeric
@attribute nTweets numeric
@attribute age numeric
@attribute gender numeric
@attribute extS numeric
@attribute neuS numeric
@attribute agrS numeric
@attribute consS numeric
@attribute openS numeric

@data
0.005985,0.001326,0.00056,0.001885,0.000525,0.002174,0.003444,0.005064,0.000156,0.008964,0.007497,0.096909,0.057428,0.00467,0.020257,0.03729,0.003077,0.017462,0.00606,0.055832,0.006922,0.017361,0.010782,0.005152,0.017578,0.009308,0.023035,0.011771,0.008329,0.00114,0.043988,0.016942,0.003538,0.002238,0.000697,0.00672,0.023219,0.030608,0.049357,0.002053,0.016178,0.002824,0.00056,0.005354,0.005838,0.013462,0.039976,0.015555,0.0105,0.015162,0.023511,0.003637,0.012015,0.004249,0.00361,0.016401,0.010446,0.009327,0.001119,0.028523,0.013667,0.003022,0.008018,0.003146,0.003637,0.003357,0,0,41,88,7,202,0,0,0,0,0,0,0
0.013285,0.001566,0.005685,0.007252,0.001067,0.001131,0.003718,0.007711,0.000994,0.005547,0.00637,0.076758,0.049293,0.009349,0.013576,0.027465,0.002781,0.018609,0.003484,0.038862,0.002545,0.01836,0.00386,0.004727,0.0147,0.017334,0.010155,0.006163,0.003747,0.000245,0.051878,0.025279,0.008655,0.002068,0.00369,0.002657,0.021706,0.034895,0.043478,0.002976,0.015594,0,0.001477,0.001638,0.00525,0.016764,0.022814,0.012463,0.008938,0.003434,0.034623,0.004849,0.016458,0.003913,0.009403,0.030262,0.006744,0.004258,0.002486,0.026673,0.014805,0.007181,0.010211,0.002486,0,0.005973,0,0,57,55,12,202,0,0,0,0,0,0,0
0.005533,0.000575,0.00193,0.002505,0.000616,0.001447,0.000482,0.003155,0.003543,0.004721,0.002739,0.050865,0.036593,0.006189,0.00818,0.014272,0.00466,0.002939,0.002612,0.040431,0.002895,0.023041,0.005895,0.002612,0.007673,0.00219,0.012224,0.005752,0.004542,0,0.040305,0.023936,0.003993,0,0.000965,0.007633,0.021783,0.00795,0.035857,0.0004,0.021155,0.001165,0.001447,0.000627,0.000482,0.017003,0.019069,0.011414,0.002369,0.005807,0.016706,0.00406,0.001151,0.005225,0.006271,0.004869,0.018495,0.01094,0.007555,0.023757,0.012261,0.002412,0.007637,0.00193,0.003859,0.00081,0,0,84,35,47,202,0,0,0,0,0,0,0
0.012152,0.00193,0.002643,0.004573,0.000872,0.004577,0.002545,0.000923,0.00237,0.015244,0.002555,0.066234,0.043523,0.007183,0.01565,0.021163,0,0.010519,0.00403,0.054095,0.005638,0.021129,0.006027,0.011316,0.010955,0.007018,0.021042,0.003862,0.007272,0.00217,0.044328,0.020821,0.00864,0.003095,0.001482,0.007385,0.014056,0.021326,0.040478,0.001905,0.01748,0.007833,0,0.00242,0.001708,0.011818,0.04493,0.025491,0.009049,0.008731,0.020818,0.00584,0.002131,0.005401,0.007446,0.004813,0.007322,0.007322,0,0.038387,0.025894,0.007725,0.011382,0.001161,0.001935,0.002233,0,0,89,74,19,202,0,0,0,0,0,0,0
0.019739,0.006103,0.002704,0.008807,0.00027,0.007626,0.002013,0.00262,0.000126,0.007958,0.00396,0.069615,0.039109,0.005195,0.008709,0.029154,0.001803,0.00443,0.008952,0.04038,0.004353,0.01874,0.00229,0.009387,0.009507,0.008262,0.017518,0.005178,0.008878,0.00166,0.075253,0.038341,0.012413,0.003792,0.005331,0.009033,0.024833,0.032276,0.047416,0.006011,0.010483,0.002482,0.000901,0.00143,0.005605,0.015892,0.050317,0.030616,0.011495,0.011665,0.021103,0.006045,0.006045,0.002925,0.006087,0.003792,0.005408,0.005408,0,0.031973,0.012338,0.008311,0.008562,0.008562,0.002891,0.003979,0,0,14,61,67,202,0,0,0,0,0,0,0
0.021008,0.004959,0.001187,0.006147,0.006827,0.003864,0.012609,0.001398,0.000055,0.008361,0.001775,0.090764,0.053165,0.009252,0.0114,0.035818,0.002621,0.014013,0.008729,0.030968,0.006184,0.012196,0.00559,0.001087,0.006603,0.004224,0.018575,0.004896,0.008683,0.004996,0.063979,0.021363,0.014153,0.001434,0.001187,0.019905,0.015183,0.014037,0.051203,0.004156,0.006298,0.003215,0,0.000178,0.001927,0.007355,0.020799,0.006531,0.001187,0.01308,0.005837,0.005344,0,0,0.000493,0.003562,0.003114,0.000739,0.002375,0.042125,0.024544,0.019463,0.004302,0.00475,0.001781,0.006677,0,0,10,142,8,202,0,0,0,0,0,0,0
0.01461,0.001457,0.003824,0.005281,0.001605,0.004824,0.007357,0.01019,0.000246,0.006683,0.005397,0.096129,0.057991,0.008947,0.020969,0.035739,0.005701,0.017222,0.005211,0.051802,0.004821,0.019326,0.007236,0.007858,0.010747,0.006034,0.016499,0.004679,0.007711,0.002281,0.070795,0.03395,0.012082,0.003824,0.006976,0.012817,0.024782,0.031159,0.050651,0.005389,0.014535,0.004297,0.00114,0.001196,0.002002,0.011247,0.040483,0.022643,0.008465,0.008687,0.012661,0.007433,0.000807,0.004421,0,0.009065,0.009052,0.005798,0.003254,0.021867,0.013043,0.014644,0.001829,0.000855,0.00114,0.002969,0,0,28,141,49,202,0,0,0,0,0,0,0
0.012445,0.000915,0.004626,0.005541,0,0.001571,0.001215,0.00335,0.001396,0.010744,0.003062,0.075064,0.063081,0.003647,0.017979,0.011984,0.001423,0.001423,0.004867,0.05104,0.002504,0.018334,0.002844,0.0115,0.006471,0.006334,0.018833,0.007439,0.009024,0.00237,0.059449,0.023794,0.009971,0.004773,0.001893,0.010738,0.026773,0.015504,0.037191,0.004068,0.015328,0.00398,0,0.005825,0.001856,0.018867,0.078246,0.031333,0.025946,0.020477,0.029437,0.007747,0.00731,0.0086,0.007204,0.003783,0.010319,0.010319,0,0.015021,0.006908,0.004911,0.006553,0.001067,0.002135,0,0,0,69,97,195,202,0,0,0,0,0,0,0
0.012359,0.000685,0.003358,0.004043,0.004264,0.001366,0.005694,0.004504,0.001541,0.015446,0.006149,0.087728,0.036778,0.000498,0.021427,0.044381,0.001427,0.01813,0.004555,0.058066,0.008378,0.017007,0.007568,0.010135,0.013591,0.005332,0.009942,0.001514,0.003427,0.002148,0.047657,0.020634,0.00985,0.002853,0.002497,0.007016,0.02289,0.020475,0.046002,0.003162,0.018894,0.002436,0.001427,0.002615,0.002296,0.014402,0.050383,0.018734,0.011963,0.01889,0.018114,0.00191,0.007052,0.004428,0.004724,0.010838,0.017921,0.005794,0.012127,0.012283,0.009361,0.003992,0.001427,0.000713,0.001427,0.002853,0,0,73,52,19,202,0,0,0,0,0,0,0
0.012055,0.005833,0.001177,0.007011,0,0.001733,0.002401,0.004777,0.000037,0.009601,0.007256,0.067176,0.031034,0.004089,0.012589,0.034965,0.001177,0.018027,0.004822,0.050708,0.008568,0.016291,0.005269,0.009027,0.017268,0.01026,0.024653,0.007287,0.009316,0.005696,0.038532,0.018416,0.005437,0.00157,0.006672,0.007539,0.037753,0.033948,0.055377,0.001733,0.017259,0.002428,0.001962,0.000754,0.005829,0.015946,0.030523,0.012885,0.007712,0.012047,0.021452,0.011774,0,0.002288,0.007389,0.007847,0.010796,0.005139,0.005658,0.060582,0.025288,0.015351,0.01076,0.009612,0.007065,0.024077,0.001177,0,3,1,0,202,0,0,0,0,0,0,0
