@relation trainplusliwc

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute feature8 numeric
@attribute feature9 numeric
@attribute feature10 numeric
@attribute feature11 numeric
@attribute feature12 numeric
@attribute feature13 numeric
@attribute feature14 numeric
@attribute feature15 numeric
@attribute feature16 numeric
@attribute feature17 numeric
@attribute feature18 numeric
@attribute feature19 numeric
@attribute feature20 numeric
@attribute feature21 numeric
@attribute feature22 numeric
@attribute feature23 numeric
@attribute feature24 numeric
@attribute feature25 numeric
@attribute feature26 numeric
@attribute feature27 numeric
@attribute feature28 numeric
@attribute feature29 numeric
@attribute feature30 numeric
@attribute feature31 numeric
@attribute feature32 numeric
@attribute feature33 numeric
@attribute feature34 numeric
@attribute feature35 numeric
@attribute feature36 numeric
@attribute feature37 numeric
@attribute feature38 numeric
@attribute feature39 numeric
@attribute feature40 numeric
@attribute feature41 numeric
@attribute feature42 numeric
@attribute feature43 numeric
@attribute feature44 numeric
@attribute feature45 numeric
@attribute feature46 numeric
@attribute feature47 numeric
@attribute feature48 numeric
@attribute feature49 numeric
@attribute feature50 numeric
@attribute feature51 numeric
@attribute feature52 numeric
@attribute feature53 numeric
@attribute feature54 numeric
@attribute feature55 numeric
@attribute feature56 numeric
@attribute feature57 numeric
@attribute feature58 numeric
@attribute feature59 numeric
@attribute feature60 numeric
@attribute feature61 numeric
@attribute feature62 numeric
@attribute feature63 numeric
@attribute feature64 numeric
@attribute feature65 numeric
@attribute feature66 numeric
@attribute feature67 numeric
@attribute feature68 numeric
@attribute nlinks numeric
@attribute nusermentions numeric
@attribute nhashtags numeric
@attribute nTweets numeric
@attribute age {25-34,35-49,18-24,50-XX}
@attribute gender {M,F}
@attribute extS numeric
@attribute neuS numeric
@attribute agrS numeric
@attribute consS numeric
@attribute openS numeric

@data
0.009318,0.003156,0.000544,0.0037,0.000868,0.002913,0.004115,0.007026,0.000199,0.011919,0.01102,0.135492,0.079079,0.007016,0.026569,0.052904,0.003819,0.024609,0.008856,0.084646,0.010817,0.028968,0.014171,0.007746,0.027037,0.014942,0.025869,0.013484,0.009202,0.001646,0.060781,0.024122,0.004774,0.003612,0.000855,0.010123,0.034129,0.042057,0.066718,0.003537,0.020521,0.003837,0.000963,0.00626,0.009198,0.021035,0.055422,0.022134,0.01453,0.020733,0.029406,0.004505,0.014735,0.005113,0.005053,0.02342,0.014976,0.012948,0.002028,0.038808,0.01931,0.004728,0.010777,0.003667,0.004949,0.003619,0,0,41,88,7,202,25-34,M,0.2,0.2,0.1,0.1,0.5
0.017879,0.003669,0.006916,0.010585,0.001123,0.00135,0.004354,0.011117,0.000706,0.007834,0.008416,0.108206,0.067772,0.01166,0.018441,0.040434,0.004133,0.027384,0.005572,0.059511,0.003362,0.02973,0.005305,0.006786,0.022969,0.026189,0.013814,0.008487,0.004952,0.000375,0.069232,0.034583,0.010283,0.003189,0.004479,0.004853,0.031808,0.050473,0.056115,0.004299,0.021834,0,0.002567,0.002989,0.007031,0.02385,0.033367,0.017882,0.013375,0.005038,0.047644,0.00681,0.023089,0.005348,0.012398,0.040658,0.009078,0.006049,0.003029,0.040301,0.020751,0.008854,0.017217,0.003032,0,0.008752,0,0,57,55,12,202,25-34,M,0.2,0.2,0.1,0.1,0.5
0.011048,0.003369,0.002629,0.005997,0.001072,0.001894,0.000647,0.004453,0.003951,0.004729,0.004449,0.066731,0.047153,0.008387,0.009103,0.019577,0.007068,0.004228,0.003306,0.057044,0.005264,0.032244,0.007784,0.00456,0.011388,0.003202,0.013892,0.005751,0.005609,0,0.05246,0.03095,0.005595,0,0.001447,0.01025,0.030908,0.010619,0.04893,0.00126,0.030719,0.001711,0.002532,0.000723,0.000635,0.022726,0.023334,0.014632,0.00326,0.006389,0.023878,0.005528,0.002306,0.007334,0.00871,0.007239,0.026771,0.016663,0.010108,0.036457,0.018168,0.003534,0.01206,0.003014,0.006228,0.001256,0,0,84,35,47,202,35-49,M,0.1,0.3,0.3,0.2,0.4
0.016168,0.002498,0.003181,0.005679,0.001549,0.005939,0.003535,0.002106,0.002244,0.019495,0.003771,0.097624,0.064382,0.010283,0.024063,0.030438,0,0.015102,0.006026,0.076931,0.007566,0.028584,0.008737,0.016263,0.015894,0.010931,0.027378,0.005571,0.010612,0.003461,0.062539,0.030411,0.011539,0.004382,0.002812,0.009017,0.020835,0.029231,0.055799,0.002823,0.025502,0.012281,0,0.00287,0.002033,0.016847,0.065269,0.036936,0.012827,0.013586,0.028016,0.007326,0.003046,0.007555,0.010089,0.007818,0.009329,0.009329,0,0.051121,0.036189,0.012047,0.013163,0.001578,0.003323,0.003205,0,0,89,74,19,202,25-34,F,0.2,0.2,0.1,0.3,0.1
0.016606,0.009442,0.001214,0.010656,0.002408,0.000692,0.015104,0.009531,0.000112,0.008748,0.014531,0.085249,0.043707,0.00884,0.013646,0.040645,0.006058,0.009041,0.005564,0.060729,0.002968,0.028511,0.008759,0.005981,0.016671,0.017506,0.031098,0.012291,0.013192,0.001166,0.053974,0.027697,0.006873,0.003286,0.003278,0.007974,0.040331,0.040571,0.080365,0.002844,0.013635,0.003112,0.001081,0.000938,0.002931,0.017853,0.045961,0.0276,0.006152,0.01301,0.018797,0.014845,0,0.004464,0.002762,0.001281,0.008482,0.005453,0.003028,0.050729,0.0245,0.001166,0.017125,0.012449,0.004045,0.000993,0.001335,0,10,34,24,202,18-24,F,0.2,0.2,0.4,0.4,0.5
0.012232,0.002277,0.004527,0.006805,0.000213,0,0.005723,0.008772,0.001508,0.010255,0.002846,0.122185,0.078478,0.008557,0.022329,0.035098,0.007004,0.012096,0.007989,0.070063,0.009214,0.026242,0.004551,0.014046,0.018217,0.012046,0.03756,0.010818,0.023297,0.001614,0.085099,0.043154,0.006437,0.004217,0.002815,0.017371,0.014489,0.035191,0.074746,0.004091,0.023317,0.002436,0.002146,0.002008,0.006226,0.013456,0.084376,0.04729,0.025338,0.018705,0.023325,0.007359,0.003807,0.005281,0.008135,0.01418,0.00823,0.006816,0.001414,0.028737,0.013917,0,0.008974,0,0.005847,0,0.007141,0,23,130,42,202,35-49,F,0,-0.3,0,0.2,0.5
0.008377,0.002342,0.000388,0.002731,0.000168,0.003534,0.004725,0,0.007358,0.019003,0.001496,0.126597,0.110751,0.01018,0.01421,0.015846,0.001692,0.003234,0.001143,0.021498,0.003384,0.004219,0.006952,0.003825,0.009405,0.000353,0.021807,0.004956,0.005208,0.008751,0.028872,0.019735,0.004574,0,0.002762,0.001801,0.008129,0.027326,0.041606,0,0.014803,0.002123,0,0.001584,0.003733,0.017359,0.01305,0.006436,0.001877,0.004737,0.01282,0.002473,0,0.008471,0.001877,0.002314,0.007941,0.001784,0.006157,0.088993,0.074909,0.009739,0.008131,0.00093,0.002158,0.003173,0,0,101,8,92,202,25-34,M,0.2,0.4,0.2,0.1,0.1
0.024787,0.000914,0.003575,0.004489,0.000523,0.00385,0.017821,0.001935,0.000886,0.010569,0.008868,0.107888,0.06014,0.008598,0.017595,0.040329,0.004356,0.006837,0.009742,0.112101,0.009037,0.048793,0.016581,0.024027,0.03103,0.012485,0.020641,0.006478,0.005681,0.006744,0.068431,0.030724,0.020009,0.001165,0.00278,0.010377,0.024533,0.02849,0.098627,0.007207,0.008615,0.002106,0,0.001618,0.009772,0.012968,0.018201,0.005405,0.003945,0.009434,0.005826,0.000768,0,0.005058,0,0.006602,0.015982,0.010576,0.005405,0.028701,0.014371,0.012046,0.004374,0.006202,0,0,0,0,2,52,2,124,35-49,F,0,0.2,0.2,0.4,0.4
0.010742,0.001267,0.005037,0.006304,0.00221,0.001506,0.005198,0.004413,0.002231,0.022977,0,0.100552,0.049851,0.000722,0.021472,0.050701,0.011568,0.017431,0.005517,0.057653,0.004962,0.019298,0.003215,0.011944,0.012552,0.009705,0.031928,0.008168,0.01254,0.003266,0.056087,0.021085,0.009475,0.000736,0.012513,0.005004,0.036179,0.0143,0.049929,0.003957,0.034508,0.005516,0.00155,0.006198,0.002051,0.005529,0.033084,0.016978,0.008098,0.009777,0.039779,0.005344,0.008766,0.007996,0.017673,0.002535,0.00377,0.00222,0.00155,0.045554,0.022498,0.014392,0.010507,0.003565,0.005104,0.004973,0,0,98,41,73,202,25-34,M,0.1,0.4,0.1,0,0.4
0.009504,0.001077,0.003607,0.004683,0.000558,0,0.008871,0.010543,0.00125,0.014845,0.005601,0.09624,0.053283,0.010959,0.013946,0.042035,0.001978,0.011726,0.016483,0.088943,0.007953,0.04407,0.011955,0.010239,0.019158,0.021378,0.031214,0.008629,0.010833,0.010826,0.065185,0.036723,0.005773,0.00486,0.002629,0.00911,0.045491,0.041436,0.070286,0.011433,0.022271,0.006482,0,0.009416,0.008451,0.024156,0.026562,0.00725,0.003147,0.01775,0.020329,0.009198,0.001756,0.001243,0.008132,0.013352,0.01686,0.014882,0.001978,0.034541,0.022693,0.003214,0.003348,0.006471,0.004879,0.001984,0,0,13,12,0,202,25-34,M,0.2,0.4,0.2,0,0.2
