@relation testplusliwc

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute feature8 numeric
@attribute feature9 numeric
@attribute feature10 numeric
@attribute feature11 numeric
@attribute feature12 numeric
@attribute feature13 numeric
@attribute feature14 numeric
@attribute feature15 numeric
@attribute feature16 numeric
@attribute feature17 numeric
@attribute feature18 numeric
@attribute feature19 numeric
@attribute feature20 numeric
@attribute feature21 numeric
@attribute feature22 numeric
@attribute feature23 numeric
@attribute feature24 numeric
@attribute feature25 numeric
@attribute feature26 numeric
@attribute feature27 numeric
@attribute feature28 numeric
@attribute feature29 numeric
@attribute feature30 numeric
@attribute feature31 numeric
@attribute feature32 numeric
@attribute feature33 numeric
@attribute feature34 numeric
@attribute feature35 numeric
@attribute feature36 numeric
@attribute feature37 numeric
@attribute feature38 numeric
@attribute feature39 numeric
@attribute feature40 numeric
@attribute feature41 numeric
@attribute feature42 numeric
@attribute feature43 numeric
@attribute feature44 numeric
@attribute feature45 numeric
@attribute feature46 numeric
@attribute feature47 numeric
@attribute feature48 numeric
@attribute feature49 numeric
@attribute feature50 numeric
@attribute feature51 numeric
@attribute feature52 numeric
@attribute feature53 numeric
@attribute feature54 numeric
@attribute feature55 numeric
@attribute feature56 numeric
@attribute feature57 numeric
@attribute feature58 numeric
@attribute feature59 numeric
@attribute feature60 numeric
@attribute feature61 numeric
@attribute feature62 numeric
@attribute feature63 numeric
@attribute feature64 numeric
@attribute feature65 numeric
@attribute feature66 numeric
@attribute feature67 numeric
@attribute feature68 numeric
@attribute nlinks numeric
@attribute nusermentions numeric
@attribute nhashtags numeric
@attribute nTweets numeric
@attribute age {50-XX,18-24,35-49,25-34}
@attribute gender {M,F}
@attribute openS numeric
@attribute consS numeric
@attribute agrS numeric
@attribute extS numeric
@attribute neuS numeric

@data
0.025084,0.003052,0.001153,0.004205,0.009972,0.010907,0,0.001008,0.002667,0.025817,0,0.095067,0.062113,0.000427,0.013949,0.026491,0,0.009422,0.003781,0.065957,0,0.016391,0,0.002494,0.009062,0.011114,0.017147,0.004657,0,0.008202,0.0657,0.021129,0.022032,0,0.009833,0.010606,0.028684,0.038735,0.027677,0,0.026445,0.00169,0.007787,0.013163,0.002705,0.04098,0.040113,0.012645,0.024156,0.003311,0.052123,0.020475,0.015273,0.008588,0.007787,0.003577,0.028417,0.024524,0.003894,0.053042,0.033665,0.012305,0.008181,0,0.005961,0.005939,0,0,52,11,62,126,50-XX,M,0.3,0.4,0.3,0.3,0.5
0.02971,0.010923,0.003724,0.014648,0.004803,0.006415,0.017886,0.001771,0.000403,0.018167,0.003684,0.129844,0.06122,0.013389,0.015827,0.069076,0.004674,0.030268,0.014698,0.060231,0.002405,0.024622,0.006039,0.012082,0.008106,0.0081,0.022705,0.009809,0.008345,0.004552,0.071581,0.018976,0.017259,0.00712,0.002245,0.022572,0.033151,0.026829,0.091194,0.002705,0.013574,0,0,0.00061,0.011581,0.013659,0.026613,0.008975,0.002854,0.016563,0.002823,0.001163,0.00086,0,0.0008,0.006001,0.015853,0.005043,0.01081,0.036173,0.020161,0.020747,0.003232,0.002122,0,0.022437,0,0,12,66,1,202,18-24,F,0.3,0.1,0,0.5,0.3
0.016737,0.006621,0.001197,0.007818,0.002967,0,0.008059,0.001898,0.000263,0.022521,0.002302,0.127326,0.047609,0.007167,0.017542,0.080125,0.002443,0.048785,0.009236,0.049606,0.005725,0.01839,0.011177,0.002909,0.016243,0.009749,0.016119,0.004892,0.005186,0.006041,0.052927,0.028351,0.005053,0.003464,0.004131,0.011144,0.027511,0.019049,0.087512,0.006378,0.021371,0.003024,0.004018,0.004428,0.005705,0.0243,0.010728,0.002979,0.000858,0.006891,0.013573,0.003346,0.002909,0.001583,0.005734,0.013165,0.009743,0.008266,0.001476,0.025433,0.01446,0.006598,0.00151,0.006564,0,0.013804,0,0,9,82,13,202,18-24,F,0.3,0.1,0,0.5,0.3
0.023654,0.007006,0.001282,0.008287,0.004206,0.006039,0.013438,0.00248,0.00007,0.009731,0.003349,0.113332,0.065892,0.014554,0.014403,0.04519,0.003483,0.017387,0.009906,0.04595,0.008342,0.019424,0.00599,0.001778,0.009676,0.005497,0.022353,0.007065,0.009679,0.005608,0.072929,0.024442,0.013988,0.001165,0.001696,0.026324,0.018776,0.01634,0.068229,0.00178,0.007433,0.003565,0,0.00035,0.00378,0.011091,0.029549,0.00778,0.002522,0.019246,0.004303,0.003384,0,0,0.000919,0.004298,0.003477,0.001434,0.002043,0.051875,0.029795,0.022471,0.005835,0.002669,0.003362,0.007205,0,0,10,142,8,202,18-24,F,0.3,0.1,0,0.5,0.3
0.008863,0.007091,0.001771,0.008863,0,0,0.000663,0.006063,0.00312,0.009708,0.014016,0.099551,0.066949,0.000183,0.035147,0.028539,0,0.006145,0.002463,0.078746,0.012929,0.031009,0.005573,0.016846,0.005988,0.004071,0.016656,0.010119,0.002612,0,0.05418,0.028786,0.001771,0,0.004982,0.011875,0.018879,0.01401,0.03756,0.000888,0.012315,0.002237,0,0.009406,0.001405,0.010081,0.095028,0.057054,0.020708,0.017829,0.037053,0.006627,0.003901,0.014928,0.01329,0.023663,0.01465,0.009937,0.004712,0.046756,0.032314,0.010886,0.004874,0.001491,0.001252,0,0,0,46,28,21,112,35-49,M,0.2,0.2,0.1,-0.2,0.4
0.01479,0.001964,0.003813,0.005777,0.002506,0.003499,0.004906,0.00404,0.000528,0.012956,0.011278,0.132161,0.077043,0.007778,0.020474,0.055119,0.004426,0.018295,0.008396,0.050473,0.003299,0.027122,0.011666,0.003815,0.014173,0.005144,0.032702,0.007154,0.008987,0.010096,0.076876,0.038449,0.010871,0,0.006305,0.014918,0.040659,0.051964,0.046894,0.004154,0.039784,0.006764,0.004627,0.004386,0.006108,0.015339,0.050557,0.01328,0.01721,0.018371,0.03628,0.026691,0,0.004313,0.008456,0.014696,0.008956,0.005498,0.003458,0.045037,0.010574,0.018967,0.015075,0.016726,0,0.009374,0,0,63,138,61,202,35-49,F,0.4,0.2,0.1,0.4,0.5
0.015029,0.001914,0.004905,0.006819,0,0.002832,0.011682,0.003478,0.002601,0.006611,0.008149,0.094089,0.048775,0.005949,0.014745,0.041501,0.005443,0.022082,0.009286,0.057464,0.015209,0.019879,0.005439,0,0.00894,0.005112,0.037262,0.014844,0.014902,0.000805,0.103708,0.068012,0.011746,0.001035,0.010133,0.005114,0.034693,0.020781,0.077064,0.000722,0.030461,0.003122,0,0.003515,0.002668,0.032299,0.069568,0.020697,0.023741,0.020592,0.032627,0.019116,0.004427,0.00396,0.005125,0.02415,0.01237,0.010516,0.001854,0.018976,0.010646,0.0023,0.004605,0.013254,0.001221,0.005837,0,0,43,45,42,168,35-49,F,0.4,0.2,0.1,0.4,0.5
0.002888,0,0.001952,0.001952,0.000616,0,0.000998,0.00652,0.000176,0.008636,0.008339,0.125168,0.065221,0.00088,0.029758,0.053511,0.001814,0.035681,0.008324,0.075395,0.018706,0.020869,0.005459,0.011278,0.01776,0.006581,0.022544,0.004676,0.007299,0.005017,0.064577,0.035525,0.002568,0.000987,0.001702,0.008695,0.028071,0.036026,0.08394,0.001854,0.020351,0.006123,0,0.000942,0.001361,0.037636,0.095391,0.032329,0.021655,0.04095,0.04458,0.013995,0.022006,0.002159,0.006419,0.022721,0.024053,0.012305,0.011748,0.06425,0.052394,0.012661,0.007914,0.001409,0.002819,0.004319,0,0,192,1,1,202,25-34,F,0.3,0.1,0,0.4,-0.3
0.004886,0.002626,0.001088,0.003714,0,0,0.002182,0.003268,0.000639,0.007406,0.009825,0.130234,0.039654,0.005531,0.010875,0.080283,0.00886,0.030182,0.011153,0.080518,0.015743,0.019355,0.003691,0.020538,0.009655,0.010366,0.027677,0.011529,0.004315,0.005456,0.07354,0.046999,0.001713,0,0,0.018503,0.036273,0.048955,0.062131,0.006208,0.016539,0.004563,0,0.00238,0.001431,0.018021,0.053258,0.023357,0.016716,0.014962,0.028102,0.007151,0.010284,0.00558,0.005087,0.034658,0.023605,0.016191,0.007414,0.071076,0.053027,0.014633,0.009526,0.003665,0.001327,0.004527,0,0,177,4,2,196,25-34,F,0.3,0.1,0,0.4,-0.3
0.010763,0.002162,0.000816,0.002978,0.006567,0,0.005236,0.003582,0.000312,0.006786,0.005607,0.076475,0.045886,0.007667,0.016111,0.030589,0,0.008952,0.006286,0.01278,0.000771,0.001684,0.004427,0,0.011229,0.001512,0.028508,0.012822,0.006076,0.002675,0.044209,0.018371,0.007383,0.009841,0.003733,0.001133,0.030559,0.013079,0.049685,0,0.021404,0.002615,0,0.007817,0,0.01065,0.021697,0.011737,0.000786,0.00996,0.010438,0.005551,0,0.001486,0.003401,0.006019,0.010879,0.010879,0,0.020078,0.00284,0.009999,0.010079,0,0,0,0,0,26,75,19,114,35-49,F,0.2,0.3,0.2,0,0.2
0.020495,0.003861,0.00328,0.007141,0.003692,0.00441,0.004022,0.016587,0.00126,0.010635,0.014557,0.110304,0.0872,0.007237,0.033888,0.023103,0.001162,0.007874,0.010211,0.067362,0.007581,0.034966,0.00908,0.004604,0.016249,0.008329,0.026701,0.006909,0.017642,0,0.081643,0.041199,0.014716,0.003821,0.005108,0.010465,0.042194,0.029308,0.069795,0.004272,0.021283,0.002857,0,0.003866,0.002419,0.014537,0.073326,0.027903,0.019895,0.03371,0.026459,0.010164,0.001343,0.005971,0.008982,0.002321,0.013533,0.013533,0,0.04741,0.036126,0.010382,0.005252,0,0.006032,0.004272,0,0,85,63,35,202,35-49,M,0.1,0.3,0.3,0.2,0.1
0.007238,0.00071,0.000726,0.001436,0,0.003481,0.001192,0.00873,0.001634,0.01427,0.005931,0.126829,0.084991,0.002439,0.044168,0.03694,0.007192,0.017333,0.004439,0.07927,0.016854,0.02443,0.001304,0.003862,0.01916,0.007197,0.031348,0.009608,0.018085,0.003655,0.081664,0.06861,0.004207,0,0,0.00356,0.0514,0.032541,0.064752,0,0.028023,0.009337,0.003862,0.000712,0,0.053169,0.056959,0.02169,0.009486,0.025784,0.031639,0.002619,0.003862,0.017156,0.016881,0.009486,0.01097,0.008272,0.002697,0.027418,0.010008,0.011576,0.004114,0.001798,0.002619,0,0,0,56,56,8,132,35-49,M,0.1,0.3,0.3,0.2,0.1
